Observation times,Time series values
Feb-78,5985.7
Mar-78,6040.6
Apr-78,6054.2
May-78,6038.3
Jun-78,6031.3
Jul-78,6036.1
Aug-78,6005.4
Sep-78,6024.3
Oct-78,6045.9
Nov-78,6033.8
Dec-78,6125.4
Jan-79,5971.3
Feb-79,6050.7
Mar-79,6096.2
Apr-79,6087.7
May-79,6075.6
Jun-79,6095.7
Jul-79,6103.9
Aug-79,6078.5
Sep-79,6157.8
Oct-79,6164
Nov-79,6188.8
Dec-79,6257.2
Jan-80,6112.9
Feb-80,6207.2
Mar-80,6278.7
Apr-80,6224.9
May-80,6273.4
Jun-80,6269.9
Jul-80,6314.1
Aug-80,6281.4
Sep-80,6360
Oct-80,6320.2
Nov-80,6342
Dec-80,6426.6
Jan-81,6253
Feb-81,6356.5
Mar-81,6428.1
Apr-81,6426.3
May-81,6412.4
Jun-81,6413.9
Jul-81,6425.3
Aug-81,6393.7
Sep-81,6502.7
Oct-81,6445.3
Nov-81,6433.3
Dec-81,6506.9
Jan-82,6355.5
Feb-82,6432.4
Mar-82,6497.4
Apr-82,6431.6
May-82,6440.9
Jun-82,6414.3
Jul-82,6425.9
Aug-82,6379.3
Sep-82,6443.5
Oct-82,6421.1
Nov-82,6366.8
Dec-82,6370.1
Jan-83,6172
Feb-83,6263.9
Mar-83,6310.3
Apr-83,6254.5
May-83,6272.8
Jun-83,6266.5
Jul-83,6295
Aug-83,6241.2
Sep-83,6358.2
Oct-83,6336.1
Nov-83,6377.5
Dec-83,6456.5
Jan-84,6251.4
Feb-84,6365.4
Mar-84,6503.2
Apr-84,6477.6
May-84,6489.7
Jun-84,6499
Jul-84,6528.7
Aug-84,6466.1
Sep-84,6579.8
Oct-84,6553.2
Nov-84,6576.1
Dec-84,6636
Jan-85,6452.4
Feb-85,6595.7
Mar-85,6657.4
Apr-85,6588.8
May-85,6657.9
Jun-85,6659.4
Jul-85,6703.4
Aug-85,6675.5
Sep-85,6814.7
Oct-85,6771.1
Nov-85,6881.9
Dec-85,6910.8
Jan-86,6753.6
Feb-86,6861.9
Mar-86,6961.9
Apr-86,6997.9
May-86,6979
Jun-86,7007.7
Jul-86,6991.5
Aug-86,6918.5
Sep-86,7040.6
Oct-86,7030.4
Nov-86,7034.2
Dec-86,7116.8
Jan-87,6902.5
Feb-87,7022.3
Mar-87,7133.4
Apr-87,7109.6
May-87,7103.5
Jun-87,7128.9
Jul-87,7175.6
Aug-87,7092.3
Sep-87,7186.5
Oct-87,7177.4
Nov-87,7182.2
Dec-87,7330.7
Jan-88,7169.4
Feb-88,7247.3
Mar-88,7397.4
Apr-88,7383.4
May-88,7354.8
Jun-88,7378.3
Jul-88,7383.1
Aug-88,7353.3
Sep-88,7503.2
Oct-88,7477.3
Nov-88,7508.6
Dec-88,7622.9
Jan-89,7423.8
Feb-89,7566.5
Mar-89,7634.6
Apr-89,7678.4
May-89,7720.8
Jun-89,7711
Jul-89,7740.8
Aug-89,7715.3
Sep-89,7841.6
Oct-89,7806.5
Nov-89,7862.4
Dec-89,7935.5
Jan-90,7707.7
Feb-90,7803
Mar-90,7874.1
Apr-90,7887.9
May-90,7908.5
Jun-90,7900.3
Jul-90,7919.4
Aug-90,7808
Sep-90,7905.5
Oct-90,7848.9
Nov-90,7826.9
Dec-90,7915.5
Jan-91,7641.3
Feb-91,7708.8
Mar-91,7715.4
Apr-91,7717.2
May-91,7703.7
Jun-91,7678.1
Jul-91,7583
Aug-91,7620.7
Sep-91,7713.2
Oct-91,7638
Nov-91,7614.9
Dec-91,7712.2
Jan-92,7518.9
Feb-92,7597.2
Mar-92,7646.2
Apr-92,7644.1
May-92,7631.4
Jun-92,7637.3
Jul-92,7668.3
Aug-92,7613.4
Sep-92,7709.7
Oct-92,7665.7
Nov-92,7587.4
Dec-92,7693.4
Jan-93,7533.7
Feb-93,7531
Mar-93,7645.7
Apr-93,7572.6
May-93,7620.5
Jun-93,7627.9
Jul-93,7646.5
Aug-93,7589.4
Sep-93,7747.6
Oct-93,7738.8
Nov-93,7744.9
Dec-93,7842.1
Jan-94,7646.8
Feb-94,7738.6
Mar-94,7824.2
Apr-94,7827.4
May-94,7857.9
Jun-94,7878.4
Jul-94,7966
Aug-94,7861.7
Sep-94,8054.4
Oct-94,7997.2
Nov-94,8003.3
Dec-94,8135.5
Jan-95,7928.4
Feb-95,8049.9
Mar-95,8118.1
Apr-95,8174.6
May-95,8165.2
Jun-95,8205.6
Jul-95,8229
Aug-95,8165.9
Sep-95,8300.4
Oct-95,8232.6
Nov-95,8300.3
Dec-95,8395.7
Jan-96,8166.7
Feb-96,8246.6
Mar-96,8280.4
Apr-96,8248
May-96,8297.1
Jun-96,8311.7
Jul-96,8332.1
Aug-96,8265.9
Sep-96,8373
Oct-96,8319.4
Nov-96,8314.4
Dec-96,8431.4
Jan-97,8235.2
Feb-97,8291.4
Mar-97,8347.5
Apr-97,8343.1
May-97,8330.2
Jun-97,8345.6
Jul-97,8374.9
Aug-97,8250.3
Sep-97,8474
Oct-97,8405.2
Nov-97,8462.1
Dec-97,8540.5
Jan-98,8334.7
Feb-98,8413
Mar-98,8460
Apr-98,8499.9
May-98,8482.5
Jun-98,8516.8
Jul-98,8541.9
Aug-98,8455.2
Sep-98,8653.2
Oct-98,8601
Nov-98,8554.3
Dec-98,8696.5
Jan-99,8477.4
Feb-99,8556.5
Mar-99,8618.9
Apr-99,8631.9
May-99,8606.5
Jun-99,8673.2
Jul-99,8706.7
Aug-99,8603.6
Sep-99,8777.1
Oct-99,8755.3
Nov-99,8763.7
Dec-99,8900.7
Jan-00,8628.2
Feb-00,8754.4
Mar-00,8830.7
Apr-00,8882.2
May-00,8865
Jun-00,8922
Jul-00,9020
Aug-00,8911.6
Sep-00,9061.3
Oct-00,8973.1
Nov-00,8912.7
Dec-00,9059.6
Jan-01,8834.9
Feb-01,8920.9
Mar-01,8956
Apr-01,9023.6
May-01,9004.6
Jun-01,9021.9
Jul-01,9048.9
Aug-01,8971.9
Sep-01,9105.9
Oct-01,9058.7
Nov-01,9055.6
Dec-01,9177.1
Jan-02,8993.4
Feb-02,9092.3
Mar-02,9128.5
Apr-02,9129.5
May-02,9134.7
Jun-02,9180.8
Jul-02,9194.5
Aug-02,9150.3
Sep-02,9303.5
Oct-02,9249.1
Nov-02,9286.7
Dec-02,9439.7
Jan-03,9281.7
Feb-03,9372.6
Mar-03,9362.1
Apr-03,9365.6
May-03,9380.1
Jun-03,9370.4
Jul-03,9363.9
Aug-03,9327
Sep-03,9486.1
Oct-03,9447.8
Nov-03,9427.7
Dec-03,9573.6
Jan-04,9363.8
Feb-04,9434.5
Mar-04,9506.4
Apr-04,9512
May-04,9533.5
Jun-04,9543.3
Jul-04,9553.1
Aug-04,9462.1
Sep-04,9668.6
Oct-04,9662.2
Nov-04,9652.9
Dec-04,9807.8
Jan-05,9634.4
Feb-05,9744.6
Mar-05,9828.3
Apr-05,9856.3
May-05,9850.8
Jun-05,9896.6
Jul-05,9912.3
Aug-05,9870.3
Sep-05,10004.6
Oct-05,9949.7
Nov-05,9945
Dec-05,10074.7
Jan-06,9842.7
Feb-06,9961.1
Mar-06,10048.7
Apr-06,10041
May-06,10082.1
Jun-06,10120.8
Jul-06,10170.8
Aug-06,10105.8
Sep-06,10299.5
Oct-06,10212.4
Nov-06,10201.6
Dec-06,10404.3
Jan-07,10156.1
Feb-07,10277
Mar-07,10349.2
Apr-07,10362.9
May-07,10412
Jun-07,10436.3
Jul-07,10456.8
Aug-07,10406.4
Sep-07,10588.8
Oct-07,10520.5
Nov-07,10535.1
Dec-07,10710.1
Jan-08,10524.9
Feb-08,10622.9
Mar-08,10677.4
Apr-08,10706.2
May-08,10690.3
Jun-08,10745
Jul-08,10762
Aug-08,10710.4
Sep-08,10854.6
Oct-08,10807.4
